,symbol,address,city,state,zip_code,country,website,industry,sector,business_summary,date_pulled
10,SLDB,141 Portland Street,Cambridge,MA,02139,United States,http://www.solidbio.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Solid Biosciences Inc., a life science company, engages in developing therapies for duchenne muscular dystrophy (DMD) in the United States. The company's lead product candidate is SGT-001, a gene transfer candidate, which is in a Phase I/II clinical tr...",2020-12-20
11,MUDSU,527 Madison Avenue,New York,NY,10022,United States,,,,,2020-12-20
12,VICI,430 Park Avenue,New York,NY,10022,United States,http://www.viciproperties.com,REIT—Diversified,Real Estate,"VICI Properties is an experiential real estate investment trust that owns one of the largest portfolios of market-leading gaming, hospitality and entertainment destinations, including the world-renowned Caesars Palace. VICI Properties' national, geogra...",2020-12-20
13,OSS,2235 Enterprise Street,Escondido,CA,92029,United States,http://www.onestopsystems.com,Computer Hardware,Technology,"One Stop Systems, Inc. designs, manufactures, and markets custom high-speed computing systems for high-performance edge computing applications in the United States and internationally. Its systems are built using the graphical processing unit (GPU) and...",2020-12-20
14,IPIC,Mizner Park,Boca Raton,FL,33432,United States,http://www.ipictheaters.com,Entertainment,Communication Services,"iPic Entertainment Inc. operates restaurants and theaters in the United States. The company operates casual restaurants, farm-to-glass full-service bars, and theater auditoriums with in-theater dining. It operates restaurants under the City Perch Kitch...",2020-12-20
15,CAAP,"4, rue de la GrEve",Luxembourg City,,1643,Luxembourg,http://www.caap.aero,Airports & Air Services,Industrials,"CorporaciÃ³n AmÃ©rica Airports S.A., through its subsidiaries, engages in the acquisition, development, and operation of airport concessions. It operates 52 airports in Latin America, Europe, and Eurasia. The company was formerly knwona as A.C.I. Airpo...",2020-12-20
16,CEPU,Avenida Thomas Edison 2701,Buenos Aires,,C1104BAB,Argentina,http://www.centralpuerto.com,Utilities—Regulated Electric,Utilities,"Central Puerto S.A. generates and sells electric power to private and public customers in Argentina. It also produces steam. As of December 31, 2018, the company owned and operated five thermal generation plants, one hydroelectric generation plant, and...",2020-12-20
17,FTSI,777 Main Street,Fort Worth,TX,76102,United States,http://www.ftsi.com,Oil & Gas Equipment & Services,Energy,"FTS International, Inc. provides hydraulic fracturing services in North America. Its services enhance hydrocarbon flow from oil and natural gas wells drilled by exploration and production companies (E&P), in shale and other unconventional resource form...",2020-12-20
18,PLTM,,,,,,,,,"The investment seeks to reflect, at any given time, the value of the assets owned by the Trust at that time less the Trustâs accrued expenses and liabilities as of that time.
 The Shares are intended to constitute a simple and cost-effective means of...",2020-12-20
19,HMI,Building H8,Hefei,,230088,China,http://www.huami.com,Scientific & Technical Instruments,Technology,"Huami Corporation, a biometric and activity data-driven company, develops, manufactures, and sells smart wearable technological devices in the People's Republic of China. It operates through two segments, Xiaomi Wearable Products, and Self-Branded Prod...",2020-12-20
20,EOLS,520 Newport Center Drive,Newport Beach,CA,92660,United States,http://www.evolus.com,Drug Manufacturers—Specialty & Generic,Healthcare,"Evolus, Inc., a performance beauty company, provides medical aesthetic products for physicians and their patients in the United States. It offers Jeuveau, a proprietary 900 kilodalton purified botulinum toxin type A formulation for the temporary improv...",2020-12-20
21,WHD,920 Memorial City Way,Houston,TX,77024,United States,http://www.cactuswhd.com,Oil & Gas Equipment & Services,Energy,"Cactus, Inc. designs, manufactures, sells, and rents a range of wellheads and pressure control equipment. The company's principal products include Cactus SafeDrill wellhead systems, Cactus SafeLink systems, frac stacks, zipper manifolds, and production...",2020-12-20
22,VCTR,15935 La Cantera Parkway,San Antonio,TX,78256,United States,http://www.vcm.com,Asset Management,Financial Services,"Victory Capital Holdings, Inc., together with its subsidiaries, operates as an independent investment management company in the United States. It offers investment advisory, fund administration, and distribution services through broker-dealers, retirem...",2020-12-20
23,CDLX,675 Ponce de Leon Avenue NE,Atlanta,GA,30308,United States,http://www.cardlytics.com,Internet Content & Information,Communication Services,"Cardlytics, Inc. operates an advertising platform within financial institutions digital channels, which include online, mobile, email, and various real-time notifications in the United States and the United Kingdom. It operates in two segments, Cardlyt...",2020-12-20
24,MOTS,1301 East Broward Boulevard,Fort Lauderdale,FL,33301,United States,http://www.motusgi.com,Diagnostics & Research,Healthcare,"Motus GI Holdings, Inc., a medical technology company, provides endoscopy solutions that enhance clinical outcomes and the cost-efficiency associated with the diagnosis and management of gastrointestinal conditions in the United States and Israel. Its ...",2020-12-20
25,BFRA,Hemmelrather Weg 201,Leverkusen,,51377,Germany,http://www.biofrontera.com,Biotechnology,Healthcare,"Biofrontera AG, a biopharmaceutical company, engages in the development and commercialization of pharmaceutical products for the treatment of dermatological conditions and diseases caused primarily by exposure to sunlight that results in sun damage to ...",2020-12-20
26,FAMI,"No. 307, Tianning Industrial Area",Lishui,,323000,China,http://www.farmmi88.com,Packaged Foods,Consumer Defensive,"Farmmi, Inc., through its subsidiaries, processes and sells agricultural products in China, the United States, Japan, Canada, Europe, and the Middle East. The company offers shiitake and Mu Er mushrooms; and other edible fungi products, including bambo...",2020-12-20
27,SLGL,7 Golda Meir Street,Ness Ziona,,7403650,Israel,http://www.sol-gel.com,Biotechnology,Healthcare,"Sol-Gel Technologies Ltd., a clinical stage specialty pharmaceutical company, focuses on developing and commercializing topical dermatological drug products based on its proprietary microencapsulation delivery system in Israel. The company's lead produ...",2020-12-20
28,GNPX,Health Discovery Building,Austin,TX,78712,United States,http://www.genprex.com,Biotechnology,Healthcare,"Genprex, Inc. operates as a clinical-stage gene therapy company. The company engages in developing technologies for cancer patients based upon a proprietary technology platform. Its platform technologies are designed to administer cancer-fighting genes...",2020-12-20
29,BDRY,,,,,,,,,"The investment seeks to provide investors with exposure to the daily change in the price of dry bulk freight futures, before expenses and liabilities of the fund, by tracking the performance of a portfolio consisting of a three-month strip of the neare...",2020-12-20
30,BWB,4450 Excelsior Boulevard,Saint Louis Park,MN,55416,United States,http://www.bridgewaterbankmn.com,Banks—Regional,Financial Services,"Bridgewater Bancshares, Inc. operates as the bank holding company for Bridgewater Bank that provides banking products and services to commercial real estate investors, small business entrepreneurs, and high-net-worth individuals in the United States. I...",2020-12-20
31,RCUS,3928 Point Eden Way,Hayward,CA,94545,United States,http://www.arcusbio.com,Biotechnology,Healthcare,"Arcus Biosciences, Inc., a clinical-stage biopharmaceutical company, engages in developing and commercializing cancer therapies in the United States. The company's product pipeline includes, AB928, a dual A2a/A2b adenosine receptor antagonist, which is...",2020-12-20
32,ZS,120 Holger Way,San Jose,CA,95134,United States,http://www.zscaler.com,Software—Infrastructure,Technology,"Zscaler, Inc. operates as a cloud security company worldwide. The company provides Zscaler Internet Access solution that provides users, servers, operational technology, internet of things, and device secure access to externally managed applications, i...",2020-12-20
33,AIHS,Shihao Square,Chengdu,,610000,China,http://www.senmiaotech.com,Credit Services,Financial Services,"Senmiao Technology Limited engages in the automobile transaction and related services business in the People's Republic of China. Its services include the facilitation of automobile transaction and financing, connecting ride-hailing drivers to financia...",2020-12-20
34,STG,Building 4-6,Beijing,,100012,China,http://www.sunlands.com,Education & Training Services,Consumer Defensive,"Sunlands Technology Group, through its subsidiaries, provides online education services in the People's Republic of China. It offers various degree- and diploma-oriented post-secondary courses, including preparation courses for the self-taught higher e...",2020-12-20
35,IQ,iQIYI Innovation Building,Beijing,,100080,China,http://www.iqiyi.com,Internet Content & Information,Communication Services,"iQIYI, Inc., together with its subsidiaries, provides online entertainment services under the iQIYI brand in the People's Republic of China. The company offers internet video, online games, live broadcasting, online literature, animations, e-commerce, ...",2020-12-20
36,DBX,1800 Owens Street,San Francisco,CA,94158,United States,http://www.dropbox.com,Software—Infrastructure,Technology,"Dropbox, Inc. provides a collaboration platform worldwide. The company's platform allows individuals, teams, and organizations to collaborate and sign up for free through its website or app, as well as upgrade to a paid subscription plan for premium fe...",2020-12-20
37,GHG,2451 Hongqiao Road,Shanghai,,200335,China,http://www.998.com,Lodging,Consumer Cyclical,"GreenTree Hospitality Group Ltd., through its subsidiaries, develops leased-and-operated, and franchised-and-managed hotels under the GreenTree brand in the People's Republic of China. As of December 31, 2019, it operated 34 leased-and-operated hotels;...",2020-12-20
38,FIXX,One Patriots Park,Bedford,MA,01730,United States,http://www.homologymedicines.com,Biotechnology,Healthcare,"Homology Medicines, Inc., a genetic medicines company, focuses on transforming the lives of patients suffering from rare genetic diseases. Its proprietary platform is designed to utilize its human hematopoietic stem cell derived adeno-associated virus ...",2020-12-20
39,BILI,Building 3,Shanghai,,200433,China,http://www.bilibili.com,Electronic Gaming & Multimedia,Communication Services,"Bilibili Inc. provides online entertainment services for the young generations in the People's Republic of China. It offers a platform that covers a range of genres and media formats, including videos, live broadcasting, and mobile games. Bilibili Inc....",2020-12-20
40,OPBK,1000 Wilshire Boulevard,Los Angeles,CA,90017,United States,http://www.myopenbank.com,Banks—Regional,Financial Services,"OP Bancorp operates as the bank holding company for Open Bank that provides banking products and services in California. It offers demand, checking, savings, money market, and time deposit accounts, as well as certificate of deposits. The company also ...",2020-12-20
41,ONE,165 West Guangfu Road,Shanghai,,,China,http://www.onesmart.investorroom.com,Education & Training Services,Consumer Defensive,"OneSmart International Education Group Limited provides tutoring services for kindergarten and primary, middle, and high schools (K12) in the People's Republic of China. The company offers young children services, including Chinese language, mathematic...",2020-12-20
42,BTAI,555 Long Wharf Drive,New Haven,CT,06511,United States,http://www.bioxceltherapeutics.com,Biotechnology,Healthcare,"BioXcel Therapeutics, Inc., a clinical stage biopharmaceutical company, focuses on novel artificial intelligence-based drug development in the fields of neuroscience and immuno-oncology in the United States. The company is involved in developing BXCL50...",2020-12-20
43,DOCU,221 Main Street,San Francisco,CA,94105,United States,http://www.docusign.com,Software—Application,Technology,"DocuSign, Inc. provides cloud based software in the United States and internationally. The company provides e-signature solution that enables businesses to digitally prepare, execute, and act on agreements. It also offers DocuSign CLM, which automates ...",2020-12-20
44,GSHD,Building 4,Westlake,TX,76262,United States,http://www.gooseheadinsurance.com,Insurance—Diversified,Financial Services,"Goosehead Insurance, Inc. operates as a holding company for Goosehead Financial, LLC that provides personal lines insurance agency services in the United States. The company operates through two segments, Corporate Channel and Franchise Channel. It off...",2020-12-20
45,SMAR,10500 NE 8th Street,Bellevue,WA,98004,United States,http://www.smartsheet.com,Software—Application,Technology,"Smartsheet Inc. provides cloud-based platform for execution of work. It enables teams and organizations to plan, capture, manage, automate, and report on work. The company offers Smartdashboards that provides real-time visibility into the status of wor...",2020-12-20
46,LASR,5408 NE 88th Street,Vancouver,WA,98665,United States,http://www.nlight.net,Semiconductors,Technology,"nLIGHT, Inc. designs, develops, and manufactures semiconductor and fiber lasers for industrial, microfabrication, and aerospace and defense applications. The company operates in two segments, Laser Products and Advanced Development. It also produces op...",2020-12-20
47,CDAY,3311 East Old Shakopee Road,Minneapolis,MN,55425-1640,United States,http://www.ceridian.com,Software—Application,Technology,"Ceridian HCM Holding Inc. operates as a human capital management (HCM) software company in the United States, Canada, and internationally. The company offers Dayforce, a cloud HCM platform that provides human resources (HR), payroll, benefits, workforc...",2020-12-20
48,LEVL,32991 Hamilton Court,Farmington Hills,MI,48334,United States,http://www.levelonebank.com,Banks—Regional,Financial Services,"Level One Bancorp, Inc. operates as a bank holding company for Level One Bank that provides business and consumer financial services in Michigan. Its deposit products include checking accounts, NOW accounts, savings and other time deposits, certificate...",2020-12-20
49,SURF,50 Hampshire Street,Cambridge,MA,02139,United States,http://www.surfaceoncology.com,Biotechnology,Healthcare,"Surface Oncology, Inc., a clinical-stage immuno-oncology company, engages in the development of cancer therapies. The company develops human immunoglobulin isotype G4 monoclonal antibodies, including SRF231 inhibiting CD47; NZV930 inhibiting CD73; SRF6...",2020-12-20
50,MOR,Semmelweisstrasse 7,Planegg,,82152,Germany,http://www.morphosys.com,Biotechnology,Healthcare,"MorphoSys AG, together with its subsidiaries, develops and commercializes antibodies and peptides for therapeutic applications in the United States. Its lead product candidate is Tafasitamab, an antibody for the treatment of B cell malignancies, includ...",2020-12-20
51,EAF,982 Keynote Circle,Brooklyn Heights,OH,44131,United States,http://www.graftech.com,Electrical Equipment & Parts,Industrials,"GrafTech International Ltd. researches, develops, manufactures, and sells graphite and carbon based products worldwide. It offers graphite electrodes, which requires for the production of electric arc furnace steel, ferrous, and non-ferrous metals; and...",2020-12-20
52,AGMH,Connuaght Commercial Building,Wan Chai,,,Hong Kong,http://www.agmprime.com,Software—Application,Technology,"AGM Group Holdings Inc. operates as a software company in the People's Republic of China. The company develops and sells enterprise application software, including accounting software and enterprise resource planning software; and social trading softwa...",2020-12-20
53,ZUO,101 Redwood Shores Parkway,Redwood City,CA,94065,United States,http://www.zuora.com,Software—Infrastructure,Technology,"Zuora, Inc. provides cloud-based software on a subscription basis that enables companies in various industries to launch, manage, and transform into a subscription business. The company offers Zuora Central platform that acts as an intelligent subscrip...",2020-12-20
54,SPOT,"42-44, avenue de la Gare",Luxembourg,,1610,Luxembourg,http://www.spotify.com,Internet Content & Information,Communication Services,"Spotify Technology S.A., together with its subsidiaries, provides audio streaming services in the United States, the United Kingdom, Luxembourg, and internationally. It operates through two segments, Premium and Ad-Supported. The company offers unlimit...",2020-12-20
55,HJLI,70 Doppler,Irvine,CA,92618,United States,http://www.hancockjaffe.com,Medical Devices,Healthcare,"Hancock Jaffe Laboratories, Inc., a medical device company, develops and sells tissue based solutions for patients with cardiovascular disease, and peripheral arterial and venous disease in the United States and Europe. It develops and manufactures bio...",2020-12-20
56,TDACU,77 Water Street,New York,NY,10005,United States,http://www.tridentacquisitions.com,Shell Companies,Financial Services,"Trident Acquisitions Corp. does not have significant operations. It intends to enter into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more target busine...",2020-12-20
57,UBX,285 East Grand Avenue,South San Francisco,CA,94080,United States,http://www.unitybiotechnology.com,Biotechnology,Healthcare,"Unity Biotechnology, Inc., a biotechnology company, engages in the research and development of therapeutics to extend human health span. The company's lead drug candidates include UBX0101 that is in Phase II clinical trial for musculoskeletal/ osteoart...",2020-12-20
58,INSP,5500 Wayzata Boulevard,Golden Valley,MN,55416,United States,http://www.inspiresleep.com,Medical Devices,Healthcare,"Inspire Medical Systems, Inc., a medical technology company, focuses on the development and commercialization of minimally invasive solutions for patients with obstructive sleep apnea (OSA). It offers Inspire system, a neurostimulation technology that ...",2020-12-20
59,BCML,500 Ygnacio Valley Road,Walnut Creek,CA,94596,United States,http://www.unitedbusinessbank.com,Banks—Regional,Financial Services,"BayCom Corp operates as the bank holding company for United Business Bank that provides various financial services to businesses, business owners, and individuals. The company offers demand, savings, money market, and time deposit accounts. It also pro...",2020-12-20
60,ASLN,83 Clemenceau Avenue,Singapore,,239920,Singapore,http://aslanpharma.com,Biotechnology,Healthcare,"ASLAN Pharmaceuticals Limited, a clinical-stage immunology and oncology focused biopharmaceutical company, engages in developing various treatments to transform the lives of patients. The company's clinical portfolio comprises ASLAN004, a monoclonal th...",2020-12-20
61,STXB,1836 Spirit of Texas Way,Conroe,TX,77301,United States,http://www.sotb.com,Banks—Regional,Financial Services,"Spirit of Texas Bancshares, Inc. operates as the holding company for Spirit of Texas Bank SSB that provides various commercial and retail banking services. It offers checking, money market, savings, and individual retirement accounts, as well as variou...",2020-12-20
62,ROAD,290 Healthwest Drive,Dothan,AL,36303,United States,http://www.constructionpartners.net,Engineering & Construction,Industrials,"Construction Partners, Inc., a civil infrastructure company, engages in the construction and maintenance of roadways across Alabama, Florida, Georgia, North Carolina, and South Carolina. The company, through its subsidiaries, provides various products ...",2020-12-20
63,OBNK,500 South Service Road East,Ruston,LA,71270,United States,http://www.origin.bank,Banks—Regional,Financial Services,"Origin Bancorp, Inc. operates as a bank holding company for Origin Bank that provides banking and financial services to small and medium-sized businesses, municipalities, high net worth individuals, and retail clients in Louisiana, Texas, and Mississip...",2020-12-20
64,EVLO,620 Memorial Drive,Cambridge,MA,02139,United States,http://www.evelobio.com,Biotechnology,Healthcare,"Evelo Biosciences, Inc., a biotechnology company, discovers and develops oral biologics for the treatment of inflammatory diseases and cancer. It is developing EDP1815, a monoclonal microbial candidate, which is in Phase 1b placebo-controlled dose-esca...",2020-12-20
65,EQH,1290 Avenue Of The Americas,New York,NY,10104,United States,http://www.equitableholdings.com,Insurance—Diversified,Financial Services,"Equitable Holdings, Inc. operates as a diversified financial services company worldwide. The company operates through four segments: Individual Retirement, Group Retirement, Investment Management and Research, and Protection Solutions. The Individual R...",2020-12-20
66,HUYA,"Building A3, E-Park",Guangzhou,,511446,China,http://www.huya.com,Entertainment,Communication Services,"HUYA Inc., through its subsidiaries, operates game live streaming platforms in the People's Republic of China. Its platforms enable broadcasters and viewers to interact during live streaming. Its live streaming content covers a library of games, includ...",2020-12-20
67,PS,182 North Union Avenue,Farmington,UT,84025,United States,http://www.pluralsight.com,Software—Application,Technology,"Pluralsight, Inc. operates a cloud-based technology skills platform in the United States, Europe, the Middle East, Africa, and internationally. Its platform products include Pluralsight Skills for individuals and teams to acquire technology skills thro...",2020-12-20
68,EVOP,South Tower,Atlanta,GA,30328,United States,http://www.evopayments.com,Software—Infrastructure,Technology,"EVO Payments, Inc. operates as an integrated merchant acquirer and payment processor in the Americas and Europe. Its payment and commerce solutions consist of gateway solutions, online fraud prevention and management reporting, online hosted payments p...",2020-12-20
69,CLPS,Millennium City 2,Kwun Tong,,201203,Hong Kong,http://www.clpsglobal.com,Information Technology Services,Technology,"CLPS Incorporation provides information technology, consulting, and solutions services to institutions operating in banking, insurance, and financial sectors in the People's Republic of China and internationally. It offers IT consulting services in cre...",2020-12-20
70,GSKY,5565 Glenridge Connector,Atlanta,GA,30342,United States,http://www.greensky.com,Software—Infrastructure,Technology,"GreenSky, Inc., a technology company, provides point-of-sale financing and payment solutions to merchants, consumers, and banks. It offers a proprietary technology infrastructure that supports the full transaction lifecycle, including credit applicatio...",2020-12-20
71,SRRK,620 Memorial Drive,Cambridge,MA,02139,United States,http://scholarrock.com,Biotechnology,Healthcare,"Scholar Rock Holding Corporation, a clinical-stage biopharmaceutical company, focuses on the discovery and development of medicines for the treatment of serious diseases in which signaling by protein growth factors plays a fundamental role. Its lead an...",2020-12-20
72,KNSA,Clarendon House,Hamilton,,HM 11,Bermuda,http://www.kiniksa.com,Biotechnology,Healthcare,"Kiniksa Pharmaceuticals, Ltd., a clinical-stage biopharmaceutical company, focuses on discovering, acquiring, developing, and commercializing therapeutic medicines for patients suffering from debilitating diseases with significant unmet medical need wo...",2020-12-20
73,ITRM,Harcourt Centre,Dublin,,2,Ireland,http://www.iterumtx.com,Biotechnology,Healthcare,"Iterum Therapeutics plc, a clinical-stage pharmaceutical company, engages in developing anti-infectives for multi-drug resistant pathogens in Ireland and the United States. The company is developing sulopenem, a novel penem anti-infective compound with...",2020-12-20
74,PRT,"Simmons Bank, Trustee",Fort Worth,TX,76147,United States,http://www.permrock.com,Oil & Gas E&P,Energy,"PermRock Royalty Trust owns 80% net profits interest in the oil and natural gas production properties acquired by Boaz Energy II, LLC in Permian Basin, Texas. Its underlying properties consist of 22,997 net acres, which include 2,434 net acres on the C...",2020-12-20
75,DOMO,772 East Utah Valley Drive,American Fork,UT,84003,United States,http://www.domo.com,Software—Application,Technology,"Domo, Inc. operates a cloud-based platform in the United States. Its platform digitally connects from the chief executive officer to the frontline employee with the people, data, and systems in an organization, giving them access to real-time data and ...",2020-12-20
76,EPRT,902 Carnegie Center Boulevard,Princeton,NJ,08540,United States,http://www.essentialproperties.com,REIT—Diversified,Real Estate,"Essential Properties Realty Trust, Inc., a real estate company, acquires, owns, and manages single-tenant properties in the United States. The company leases its properties to middle-market companies, such as restaurants, car washes, automotive service...",2020-12-20
77,MGTA,100 Technology Square,Cambridge,MA,02139,United States,http://www.magentatx.com,Biotechnology,Healthcare,"Magenta Therapeutics, Inc., a clinical-stage biotechnology company, develops novel medicines to extend the curative power of stem cell transplant, gene therapy, genome editing, and cell therapy to patients. Thecompany is developing C100, C200, and C300...",2020-12-20
78,AVRO,Building 300,Cambridge,MA,02139,United States,http://www.avrobio.com,Biotechnology,Healthcare,"AVROBIO, Inc., a clinical-stage gene therapy company, focuses on developing ex vivo lentiviral-based gene therapies to treat rare diseases following a single dose in the United States. Its gene therapies employ hematopoietic stem cells that are collect...",2020-12-20
79,XERS,180 North LaSalle Street,Chicago,IL,60601,United States,http://www.xerispharma.com,Biotechnology,Healthcare,"Xeris Pharmaceuticals, Inc., a specialty pharmaceutical company, develops and commercializes ready-to-use injectable and infusible drug formulations. Its proprietary XeriSol and XeriJect formulation technology platforms allow for the subcutaneous and i...",2020-12-20
80,LFACU,600 Madison Avenue,New York,NY,10022,United States,http://www.lfcapital.co,Shell Companies,Financial Services,LF Capital Acquisition Corp. does not have significant operations. It focuses on identifying and evaluating opportunities for the acquisition of assets or business with a view to completing a qualifying transaction. The company was founded in 2017 and ...,2020-12-20
81,EIDX,101 Montgomery Street,San Francisco,CA,94104,United States,http://www.eidostx.com,Biotechnology,Healthcare,"Eidos Therapeutics, Inc., a clinical stage biopharmaceutical company, focuses on developing drugs to treat diseases caused by transthyretin (TTR) or amyloidosis (ATTR). It is developing AG10, which is in phase 3 clinical trial, is an orally-administere...",2020-12-20
82,VRCA,10 North High Street,West Chester,PA,19380,United States,http://www.verrica.com,Biotechnology,Healthcare,"Verrica Pharmaceuticals Inc., a clinical stage medical dermatology company, develops and commercializes dermatological treatments in the United States. The company's lead product candidate include VP-102 that is in phase III clinical trial for the trea...",2020-12-20
83,BJ,25 Research Drive,Westborough,MA,01581,United States,http://www.bjs.com,Discount Stores,Consumer Defensive,"BJ's Wholesale Club Holdings, Inc., together with its subsidiaries, operates warehouse clubs on the East Coast of the United States. It offers perishable, edible grocery, general merchandise, and non-edible grocery products, as well as gasoline and oth...",2020-12-20
84,NEW,Chuangfu Mansion,Beijing,,100080,China,http://www.pxjy.com,Education & Training Services,Consumer Defensive,"Puxin Limited, through its subsidiaries, provides K-12 and study-abroad tutoring services in the People's Republic of China. Its K-12 tutoring services offer result-oriented educational services in various forms, such as classroom-based after-school tu...",2020-12-20
85,AVLR,255 South King Street,Seattle,WA,98104,United States,http://www.avalara.com,Software—Application,Technology,"Avalara, Inc., together with its subsidiaries, provides cloud-based solutions for transaction tax compliance worldwide. The company offers a suite of compliance solutions that enable businesses to address the complexity of transaction tax compliance; p...",2020-12-20
86,CHRA,12601 Plantside Drive,Louisville,KY,40299,United States,http://www.charah.com,Waste Management,Industrials,"Charah Solutions, Inc. provides environmental and maintenance services to the power generation industry in the United States. The company operates in two segments, Environmental Solutions; and Maintenance and Technical Services. The Environmental Solut...",2020-12-20
87,USX,4080 Jenkins Road,Chattanooga,TN,37421,United States,http://www.usxpress.com,Trucking,Industrials,"U.S. Xpress Enterprises, Inc. operates as an asset-based truckload carrier providing services primarily in the United States. It operates through two segments, Truckload and Brokerage. The Truckload segment offers asset-based truckload services, includ...",2020-12-20
88,MGTX,430 East 29th Street,New York,NY,10016,United States,http://www.meiragtx.com,Biotechnology,Healthcare,"MeiraGTx Holdings plc, a clinical-stage gene therapy company, focusing on developing treatments for patients living with serious diseases. The company develops various therapies for ocular diseases, including rare inherited blindness, as well as Xerost...",2020-12-20
89,KZR,4000 Shoreline Court,South San Francisco,CA,94080,United States,http://www.kezarlifesciences.com,Biotechnology,Healthcare,"Kezar Life Sciences, Inc., a clinical-stage biotechnology company, engages in the discovery and development of novel small molecule therapeutics to treat unmet needs in autoimmunity and cancer in the United States. The company's lead product candidate ...",2020-12-20
90,IIIV,40 Burton Hills Boulevard,Nashville,TN,37215,United States,http://www.i3verticals.com,Software—Infrastructure,Technology,"i3 Verticals, Inc. provides integrated payment and software solutions to small- and medium-sized businesses and organizations in education, non-profit, public sector, property management, and healthcare markets in the United States. It operates in two ...",2020-12-20
91,APTX,909 Davis Street,Evanston,IL,60201,United States,http://www.aptinyx.com,Biotechnology,Healthcare,"Aptinyx Inc., a clinical-stage biopharmaceutical company, focuses on the discovery, development, and commercialization of novel, proprietary, and synthetic small molecules for the treatment of brain and nervous system disorders. The company is developi...",2020-12-20
92,AUTL,Forest House,London,,W12 7RZ,United Kingdom,http://www.autolus.com,Biotechnology,Healthcare,"Autolus Therapeutics plc, a clinical-stage biopharmaceutical company, develops T cell therapies for the treatment of hematological malignancies and solid tumors. The company is developing AUTO1 and AUTO3 for B cell malignancies; AUTO2 for the treatment...",2020-12-20
93,BV,980 Jolly Road,Blue Bell,PA,19422,United States,http://www.brightview.com,Specialty Business Services,Industrials,"BrightView Holdings, Inc., through its subsidiaries, provides commercial landscaping services in the United States. It operates through two segments, Maintenance Services and Development Services. The Maintenance Services segment delivers a suite of re...",2020-12-20
