,symbol,address,city,state,zip_code,country,website,industry,sector,business_summary,date_pulled
10,ACTCU,200 Clarendon Street,Boston,MA,02116,United States,,Shell Companies,Financial Services,"ArcLight Clean Transition Corp. focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded in 2020 and is based in Boston, Massachusetts....",2020-12-26
11,ADCT,Biopole,Epalinges,,1066,Switzerland,http://www.adctherapeutics.com,Biotechnology,Healthcare,"ADC Therapeutics SA, a clinical-stage oncology-focused biotechnology company, develops antibody drug conjugates (ADC) for patients suffering from hematological malignancies and solid tumors. Its lead product candidates are ADCT-402, an ADC that is in a Phase II clinical trial for the treatment of relapsed or refractory diffuse large B-cell lymphoma; and ADCT-301, an ADC that is in a pivotal Phase II clinical trial for the treatment of relapsed or refractory Hodgkin lymphoma, non-Hodgkin lymphoma, and solid tumors. The company also develops clinical-stage product candidates, such as ADCT-601 and ADCT-602, as well as preclinical product candidates, including ADCT-701 and ADCT-901. ADC Therapeutics SA has a collaboration and license agreement with Genmab A/S. The company was incorporated in 2011 and is headquartered in Epalinges, Switzerland....",2020-12-26
12,ADIL,1180 Seminole Trail,Charlottesville,VA,22901,United States,http://www.adialpharma.com,Biotechnology,Healthcare,"Adial Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development of treatment for addictions. Its lead product is AD04, a selective serotonin-3 antagonist for the treatment of alcohol use disorder. The company was founded in 2010 and is based in Charlottesville, Virginia....",2020-12-26
13,ADPT,1551 Eastlake Avenue East,Seattle,WA,98102,United States,http://www.adaptivebiotech.com,Biotechnology,Healthcare,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company offers immunoSEQ research service and kit that is used to answer research questions, as well as to discover new prognostic and diagnostic signals. It also provides clonoSEQ diagnostic tests, which include immunosequencing services for use in the detection and monitoring of minimal residual disease in patients with select blood cancers. In addition, the company offers a pipeline of clinical products and services that are used for the diagnosing, monitoring, and treatment of diseases, such as cancer, autoimmune conditions, and infectious diseases. Adaptive Biotechnologies Corporation has strategic collaborations with Genentech, Inc. for the development, manufacture, and commercialization of neoantigen directed T cell therapies for the treatment of a range of cancers; Microsoft Corporation to develop diagnostic tests f...",2020-12-26
14,ADT,1501 Yamato Road,Boca Raton,FL,33431,United States,http://www.adt.com,Security & Protection Services,Industrials,"ADT Inc. provides security and automation solutions for homes and businesses in the United States and Canada. It provides a range of fire detection, fire suppression, video surveillance, and access control systems to residential, commercial, and multi-site customers. The company primarily offers monitored security and automation solutions, including the installation and monitoring of security and premises automation systems designed to detect intrusion, control access, sense movement, smoke, fire, carbon monoxide, flooding, temperature, and other environmental conditions and hazards; and address personal emergencies such as injuries, medical emergencies, or incapacitation. It also provides interactive solutions that allow customers to use their smart phones, tablets, and laptops to arm and disarm their security systems, adjust lighting or thermostat levels, view real-time video of their premises, and program customizable schedules for the management of a range of smart home produc...",2020-12-26
15,ADTX,11161 Anderson Street,Loma Linda,CA,92354,United States,http://www.aditxt.com,Biotechnology,Healthcare,"ADiTx Therapeutics, Inc., a life sciences company, focuses on developing nucleic acid-based technologies for addressing the rejection of transplanted organs, autoimmune diseases, and allergies. The company is developing Apoptotic DNA Immunotherapy (ADi), a nucleic acid-based technology that utilizes an approach, which mimics the way the body naturally induces tolerance to its own tissues. It also develops ADi products for organ transplantation, including skin grafting, autoimmune diseases, and allergies. The company has a license agreement with Loma Linda University and Leland Stanford Junior University. ADiTx Therapeutics, Inc. was founded in 2017 and is headquartered in Loma Linda, California....",2020-12-26
16,AFIB,2210 Faraday Avenue,Carlsbad,CA,92008,United States,http://www.acutusmedical.com,Medical Devices,Healthcare,"Acutus Medical, Inc., an arrhythmia management company, designs, manufactures, and markets a range of tools for catheter-based ablation procedures to treat various arrhythmias in the United States and internationally. It offers AcQMap console and workstation, an advanced imaging, navigation, and mapping system for physicians to map, treat, re-map, and adjust additional therapy as needed; and Patient Electrode Kit that is required in every procedure to provide cardiac signals, catheter localization, and AcQMap system grounding. The company also provides diagnostic and monitoring devices, such as AcQMap 3D Imaging and Mapping Catheter that is used for mapping during the electrophysiology procedures; conventional diagnostic catheters, including multi-polar, steerable, and loop catheters that are used during the mapping and ablation procedures; and reprocessed diagnostic catheters, such as diagnostic, multipole, fixed, steerable, and advanced mapping and imaging catheters. In addition...",2020-12-26
17,AFYA,"No. 119, Alameda Oscar Niemeyer",Nova Lima,MG,,Brazil,http://www.afya.com.br,Education & Training Services,Consumer Defensive,"Afya Limited, through its subsidiaries, operates as a medical education group in Brazil. The company provides educational products and services, including medical schools, medical residency preparatory courses, graduate courses, and other programs to lifelong medical learners enrolled across its distribution network, as well as to third-party medical schools. It offers health sciences courses, which comprise medicine, dentistry, nursing, radiology, psychology, pharmacy, physical education, physiotherapy, nutrition, and biomedicine; and degree programs and courses in other subjects and disciplines, including undergraduate and post graduate courses in business administration, accounting, law, civil and mechanical engineering, industrial engineering, dentistry, pedagogy, nutrition, physiotherapy, psychology, architecture, veterinary medicine, and others. In addition, the company provides distance learning residency preparatory courses through its online platform; and develops and sel...",2020-12-26
18,AGBAU,"Room 1108, 11th Floor, Block B",Tsim Sha Tsui,,,Hong Kong,,Shell Companies,Financial Services,"AGBA Acquisition Limited does not have significant operations. It intends to enter into a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses or entities. The company focuses on operating businesses in the healthcare, education, entertainment, and financial services sectors operating in China. AGBA Acquisition Limited was founded in 2018 and is based in Tsim Sha Tsui, Hong Kong....",2020-12-26
19,AGCUU,2550 Sand Hill Road,Menlo Park,CA,94025,United States,,Shell Companies,Financial Services,"Altimeter Growth Corp. is a blank check company. The company was founded in in 2020 and is based in Menlo Park, California.",2020-12-26
20,AGMH,Connuaght Commercial Building,Wan Chai,,,Hong Kong,http://www.agmprime.com,Software—Application,Technology,"AGM Group Holdings Inc. operates as a software company in the People's Republic of China. The company develops and sells enterprise application software, including accounting software and enterprise resource planning software; and social trading software and multi-accounting trading management system to small and mid-size broker and institutional clients. It also develops subscription based and interactive trading education website; and provides technical support plans and software customization services. The company was founded in 2015 and is based in Wan Chai, Hong Kong....",2020-12-26
21,AGS,5475 South Decatur Boulevard,Las Vegas,NV,89118,United States,http://www.playags.com,Gambling,Consumer Cyclical,"PlayAGS, Inc. designs and supplies gaming products and services for the gaming industry in the United States and internationally. It operates through three segments: Electronic Gaming Machines (EGM), Table Products, and Interactive Games (Interactive). The EGM segment offers various video slot titles for the marketplace; and EGM cabinets, including the Alora, Orion Portrait, Orion Rise, Orion Upright, ICON, Big Red, and Orion Slant. This segment also provides conversion kits that allow existing game titles to be converted to other game titles offered within that operating platform. It serves Class II Native American, Mexico, and the Philippines gaming jurisdictions, as well as Class III Native American, commercial, and charitable jurisdictions. The Table Products segment offers table products, including live felt table games, side bet offerings, progressives, card shufflers, signage, and other ancillary table game equipment, as well as table technology related to blackjack, poker,...",2020-12-26
22,AHACU,1177 Avenue of The Americas,New York,NY,10105,United States,,Shell Companies,Financial Services,"Alpha Healthcare Acquisition Corp. is a blank check company. The company was incorporated in 2020 and is based in New York, New York.",2020-12-26
23,AI,1300 Seaport Boulevard,Redwood City,CA,94063,United States,http://www.C3.ai,Information Technology Services,Technology,"C3.ai, Inc. operates as an enterprise artificial intelligence (AI) software company. The company provides software-as-a-service applications for enterprises. Its software solutions include C3 AI Suite, a platform-as-a-service application development and runtime environment that enables customers to design, develop, and deploy enterprise AI applications; and C3 AI Applications, which include industry-specific and application-specific turnkey AI solutions. Its C3 AI applications include C3 AI Inventory Optimization, a solution to optimize raw material, in-process, and finished goods inventory levels; C3 AI Supply Network Risk, which provides visibility into risks of disruption throughout the supply chain operations for enterprise supply chain managers; C3 AI Customer Churn Management, which enables account executives and relationship managers to monitor customer satisfaction using transactional, behavioral, and contextual information, as well as to take action to prevent customer ch...",2020-12-26
24,AIH,1122 Nanshan Boulevard,Shenzhen,,518052,China,http://ir.aihgroup.net,Medical Care Facilities,Healthcare,"Aesthetic Medical International Holdings Group Limited provides aesthetic medical services. It offers surgical aesthetic treatments, such as eye surgery, rhinoplasty, breast augmentation, and liposuction; and non-surgical aesthetic treatments comprising minimally invasive and energy-based treatments, including laser, ultrasound, and ultraviolet light treatments. The company also provides general healthcare and other aesthetic medical services, such as internal medicine, urology, gynecology, and obstetrics treatment services, as well as dentistry, dermatology, and hair loss treatment services. It operates 25 treatment centers in China, Hong Kong, and Singapore. The company was founded in 1997 and is headquartered in Shenzhen, China....",2020-12-26
25,AIHS,Shihao Square,Chengdu,,610000,China,http://www.senmiaotech.com,Credit Services,Financial Services,"Senmiao Technology Limited engages in the automobile transaction and related services business in the People's Republic of China. Its services include the facilitation of automobile transaction and financing, connecting ride-hailing drivers to financial institutions to buy, or get financing on the purchase of, cars to be used to provide ride-hailing services. The company is also involved in the sale of automobiles; and provision of auto finance services. Senmiao Technology has strategic cooperation with Gaode Map for utilization in ride sharing initiatives. Senmiao Technology Limited was incorporated in 2017 and is based in Chengdu, the People's Republic of China....",2020-12-26
26,AKRO,170 Harbor Way,South San Francisco,CA,94080,United States,http://www.akerotx.com,Biotechnology,Healthcare,"Akero Therapeutics, Inc., a clinical-stage biotechnology company, engages in the development and commercialization of treatments for serious metabolic diseases. Its lead product candidate is AKR-001, which is in Phase IIa clinical trial for the treatment of nonalcoholic steatohepatitis disease.The company was formerly known as Pippin Pharmaceuticals, Inc. and changed its name to Akero Therapeutics, Inc. in May 2018. Akero Therapeutics, Inc. was founded in 2017 and is headquartered in South San Francisco, California....",2020-12-26
27,AKUS,645 Summer Street,Boston,MA,02210,United States,http://www.akouos.com,Biotechnology,Healthcare,"Akouos, Inc., a precision genetic medicine company, develops gene therapies to restore, improve, and preserve physiologic hearing for people worldwide. The company's precision genetic medicine platform incorporates a proprietary adeno-associated viral vector library and a novel delivery approach. Its lead product candidate, AK-OTOF, a gene therapy for the treatment of hearing loss due to mutations in the OTOF gene. Akouos has strategic partnerships with Massachusetts Eye and Ear and Lonza, Inc. The company was founded in 2016 and is headquartered in Boston, Massachusetts....",2020-12-26
28,ALACU,"Room 1001, Capital Center",Wan Chai,,,Hong Kong,http://www.albertoncorp.com,Shell Companies,Financial Services,"Alberton Acquisition Corporation does not have significant operations. It intends to engage in a merger, share exchange, asset acquisition, stock purchase, recapitalization, reorganization or other similar business combination with one or more target businesses. The company was formerly known as Wisdom Resources Group Limited and changed its name to Alberton Acquisition Corporation in July 2018. Alberton Acquisition Corporation was founded in 2005 and is based in Wan Chai, Hong Kong....",2020-12-26
29,ALEC,131 Oyster Point Boulevard,South San Francisco,CA,94080,United States,http://www.alector.com,Biotechnology,Healthcare,"Alector, Inc., a clinical stage biopharmaceutical company, develops therapies for the treatment of neurodegeneration diseases. Its products include AL001, a humanized recombinant monoclonal antibody, which is in phase II clinical trial for the treatment of frontotemporal dementia disease; and AL101 that is in Phase I clinical trial for the treatment of neurodegenerative diseases, including Alzheimer's and Parkinson's diseases. The company also offers AL002 and AL003, which are in phase 1b clinical trial for the treatment of Alzheimer's disease. In addition, it has 10 programs under research and development stage. The company has a collaboration agreement with Adimab, LLC for the research and development of antibodies. Alector, Inc. was founded in 2013 and is headquartered in South San Francisco, California....",2020-12-26
30,ALGM,955 Perimeter Road,Manchester,NH,03103-3353,United States,http://www.allegromicro.com,Semiconductors,Technology,"Allegro MicroSystems, Inc. designs, develops, manufactures, and markets sensor ICs and application-specific analog power ICs for motion control and energy-efficient systems in automotive and industrial markets. Its products include magnetic sensor ICs, such as position, speed, and current sensor ICs; Power ICs comprising motor driver ICs, and regulator and LED driver ICs, as well as photonic and 3D sensing components for LiDAR applications. The company sells its products to OEMs and suppliers primarily in the automotive and industrial markets through its direct sales force, distributors, and independent sales representatives. It operates in the Americas, Europe, Japan, Greater China, South Korea, and other Asian markets. The company was founded in 1990 and is headquartered in Manchester, New Hampshire....",2020-12-26
31,ALGS,One Corporate Drive,South San Francisco,CA,94080,United States,http://www.aligos.com,Biotechnology,Healthcare,"Aligos Therapeutics, Inc., a biopharmaceutical company, focuses to develop novel therapeutics to address unmet medical needs in viral and liver diseases. Its lead drug candidate is ALG-010133, a synthetic oligonucleotide that is in Phase I clinical trial for the treatment of chronic hepatitis B (CHB). The company is also developing ALG-000184, a capsid assembly modulator to treat CHB; ALG-020572, a oligonucleotide for the treatment of CHB; ALG-125097, an siRNA drug candidate to treat CHB; and ALG-055009, a small molecule THR-Ã agonist for the treatment of non-alcoholic steatohepatitis. Aligos Therapeutics, Inc. was founded in 2018 and is headquartered in South San Francisco, California....",2020-12-26
32,ALLK,975 Island Drive,Redwood City,CA,94065,United States,http://www.allakos.com,Biotechnology,Healthcare,"Allakos Inc. operates as a clinical stage biopharmaceutical company. The company is developing antolimab (AK002) for the treatment of eosinophilic gastritis and eosinophilic gastroenteritis, chronic urticaria, indolent systemic mastocytosis, and severe allergic conjunctivitis. Allakos Inc. was founded in 2012 and is headquartered in Redwood City, California....",2020-12-26
33,ALLO,210 East Grand Avenue,South San Francisco,CA,94080,United States,http://www.allogene.com,Biotechnology,Healthcare,"Allogene Therapeutics, Inc., a clinical stage immuno-oncology company, develops and commercializes genetically engineered allogeneic T cell therapies for the treatment of cancer. The company is developing UCART19, an allogeneic chimeric antigen receptor (CAR) T cell product candidate, which is in Phase I clinical trials for the treatment of pediatric and adult patients with R/R CD19 positive B-cell ALL; ALLO-501, an anti-CD19 allogeneic CAR T cell product candidate that is in Phase I clinical trial for the treatment of R/R non-Hodgkin lymphoma; and ALLO-501A for the treatment R/R large B-cell lymphoma or transformed follicular lymphoma. It is also developing ALLO-715, an allogeneic CAR T cell product candidate that is in a Phase 1 clinical trial for treating R/R multiple myeloma; ALLO-819, an allogeneic CAR T cell product candidates for the treatment of acute myeloid leukemia; ALLO-647, an anti-CD52 monoclonal antibody; CD70 to treat renal cell cancer; and DLL3 for the treatment o...",2020-12-26
34,ALRS,401 Demers Avenue,Grand Forks,ND,58201,United States,http://www.alerus.com,Banks—Regional,Financial Services,"Alerus Financial Corporation, through its subsidiary Alerus Financial, National Association, provides various financial services to businesses and consumers in the United States. The company operates through four segments: Banking, Retirement and Benefit Services, Wealth Management, and Mortgage. It offers various deposit products and services, including demand deposits, checking, interest-bearing transaction accounts, money market accounts, time and savings deposits, and certificates of deposit; and treasury management products, including electronic receivables management, remote deposit capture, cash vault services, merchant services, and other cash management services. The company also provides commercial lending products, such as commercial loans, business term loans, lines of credit, and commercial real estate loans, as well as construction and land development loans; consumer lending products, including residential first mortgage loans; and installment loans and lines of cre...",2020-12-26
35,ALTUU,400 Perimeter Center Terrace,Atlanta,GA,30346,United States,,Shell Companies,Financial Services,"Altitude Acquisition Corp is a blank check company. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses. The company was founded in 2020 and is based in Atlanta, Georgia....",2020-12-26
36,ALVR,139 Main Street,Cambridge,MA,02142,United States,http://www.allovir.com,Biotechnology,Healthcare,"Allovir, Inc., a clinical-stage cell therapy company, engages in the research and development of allogeneic, off-the-shelf multi-virus specific T cell (VST) therapies to prevent and treat devastating viral-associated diseases. The company's lead product is Viralym-M, an allogeneic, off-the-shelf VST therapy, to treat BK virus, cytomegalovirus, adenovirus, Epstein-Barr virus, and human herpesvirus 6. Its preclinical and clinical development product candidates include ALVR106 for respiratory syncytial virus, influenza, parainfluenza virus, and human metapneumovirus; ALVR109 to treat SARS-CoV-2 and COVID-19; ALVR107 for treating hepatitis B; and ALVR108 to treat human herpesvirus-8, including Kaposi's sarcoma, primary effusion lymphoma, and multicentric Castleman's diseases. The company was formerly known as ViraCyte, Inc. and changed its name to Allovir, Inc. in May 2019. Allovir, Inc. was founded in 2013 and is based in Cambridge, Massachusetts....",2020-12-26
37,ALXO,866 Malcolm Road,Burlingame,CA,94010,United States,http://www.alxoncology.com,Biotechnology,Healthcare,"ALX Oncology Holdings Inc., a clinical-stage immuno-oncology company, focuses on developing therapies for patients fighting cancer. Its lead product candidate is ALX148, a CD47 blocking therapeutic used for the treatment of myelodysplastic syndromes and acute myeloid leukemia, as well as a range of solid tumor indications, including head and neck squamous cell and human epidermal growth factor receptor 2 positive gastric/gastroesophageal junction carcinoma. The company was founded in 2015 and is based in Burlingame, California....",2020-12-26
38,AMBO,"Tower 1, Chang'an Center",Beijing,,100043,China,http://www.ambow.com,Education & Training Services,Consumer Defensive,"Ambow Education Holding Ltd. provides educational and career enhancement services and products to students, recent graduates, and corporate employees and management in the People's Republic of China. The company operates through two segments, K-12 Schools and CP&CE Programs. The K-12 Schools segment provides educational services covering K-12 programs and tutoring services; and international education programs. The CP&CE Programs segment operates tutoring centers that provide classroom instruction, small class, and one-on-one tutoring services for students to perform better in school and prepare for important tests, primarily high school and university entrance exams; and educational curriculum through its web-based applications. This segment also offers educational software products include eBoPo, which offers full subjects, online practice tests, and instructions for K-12 level students; career enhancement services and products focusing on improving educational opportunities for...",2020-12-26
39,AMCIU,1501 Ligonier Street,Latrobe,PA,15650,United States,http://www.amciacquisition.com,Shell Companies,Financial Services,"AMCI Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses operating in the natural resource infrastructure, value chain, and logistics-related sectors. The company was founded in 2018 and is based in Latrobe, Pennsylvania....",2020-12-26
40,AMHCU,1177 Avenue of the Americas,New York,NY,10036,United States,,Shell Companies,Financial Services,"Amplitude Healthcare Acquisition Corporation does not have significant operations. It intends to acquire assets and businesses through a merger, share exchange, share purchase, reorganization, or similar business combination with one or more businesses in the healthcare or healthcare related industries. The company was founded in 2019 and is based in New York, New York....",2020-12-26
41,AMK,1655 Grant Street,Concord,CA,94520,United States,http://www.assetmark.com,Asset Management,Financial Services,"AssetMark Financial Holdings, Inc. provides wealth management and technology solutions in the United States. The company offers an open-architecture product platform, as well as client advice, asset allocation options, practice management, support services, and technology to the financial adviser channel. It provides integrated technology platform for advisers new account opening, portfolio construction, streamlined financial planning, customer billing, investor reporting, progress to goal analysis, and client activity tracking; advisory services; and curated investment platform. The company also offers mutual funds to clients of financial advisers; custodial recordkeeping services primarily to investor clients of registered investment advisers; record-keeper and third-party administrator services for retirement products; wealth management services for institutional and individual investors; and insurance services on an intermediary basis. It serves independent advisers who provid...",2020-12-26
42,AMST,607 Shelby Street,Detroit,MI,48226,United States,http://www.amesite.com,Software—Application,Technology,"Amesite Inc., an artificial intelligence driven platform and course designer, provides online products and services in the United States. It serves businesses, universities and colleges, and K-12 schools. The company is headquartered in Detroit, Michigan....",2020-12-26
43,AMTB,220 Alhambra Circle,Coral Gables,FL,33134,United States,http://www.amerantbank.com,Banks—Regional,Financial Services,"Amerant Bancorp Inc. operates as the bank holding company for Amerant Bank, N.A. that provides banking products and services to individuals and businesses in the United States and internationally. It offers a range of checking and savings accounts, certificates of deposit, and money market accounts. The company also provides variable and fixed rate commercial real estate loans; loans secured by owner-occupied properties; loans to domestic and foreign individuals primarily secured by personal residence; working capital loans, asset-based lending, participations in shared national credits, purchased receivables, and small business administration loans; loans to financial institutions and acceptances; and consumer loans and overdrafts. In addition, it offers trust and estate planning products and services, brokerage and investment advisory services in global capital markets, and wealth management and fiduciary services. Further, the company provides debit and credit cards; remote dep...",2020-12-26
44,AMTI,1 Tower Place,South San Francisco,CA,94080,United States,http://www.appliedmt.com,Biotechnology,Healthcare,"Applied Molecular Transport Inc., a clinical-stage biopharmaceutical company, engages in the development of a pipeline of oral biologic product candidates to treat autoimmune, inflammatory, metabolic, and other diseases. Its lead product candidate is AMT-101, an oral gastrointestinal (GI) selective interleukin 10 that has completed a Phase 1b clinical trial in patients with ulcerative colitis (UC). The company, through its technology platform designs and develops various oral biologic therapeutic modalities, such as peptides, proteins, antibodies, antibody fragments, and RNA therapeutics. In addition, it engages in the development of AMT-126, a GI-selective oral fusion of rhIL-22 for diseases related to intestinal epithelium barrier function defects. Applied Molecular Transport Inc. was founded in 2010 and is headquartered in South San Francisco, California....",2020-12-26
45,AMWL,75 State Street,Boston,MA,02109,United States,http://amwell.com,Health Information Services,Healthcare,"American Well Corporation provides a telehealth application that connects and enables providers, insurers, patients, and innovators to deliver access to healthcare. Its application offers urgent care; pediatrics; therapy; menopause nutrition; menopause counseling; telestroke; population health management; telepsychiatry; pregnancy and postpartum nutrition; pregnancy and postpartum therapy; breastfeed support; menopause care; pregnancy and postpartum care; and chromic disease management services. The company also provides telemedicine equipment, including telemedicine carts, peripherals, and kiosks. Its application is available on App Store and Google Play. American Well Corporation was founded in 2006 and is based in Boston, Massachusetts. It has additional offices in Reston, Virginia; Seattle, Washington; and Ramat Gan, Israel....",2020-12-26
46,ANCN,One Kendall Square,Cambridge,MA,02139,United States,http://www.anchiano.com,Biotechnology,Healthcare,"Anchiano Therapeutics Ltd., a preclinical biotechnology company, discovers, develops, and commercializes small molecule anti-cancer therapies. It primarily develops Pan-RAS Program that identifies novel indene-based small molecules that exhibit potent and selective inhibition of activated RAS signaling regardless of isoform or mutation; and PDE10/Ã-catenin program, which identifies small molecules that selectively and potently inhibit PDE10 and suppress Wnt/APC/Ã-catenin signaling in preclinical models. Anchiano Therapeutics Ltd. has collaboration and license agreement with ADT Pharmaceuticals, LLC to research and develop programs related to the pan-RAS and PDE10/Ã-catenin programs. The company was formerly known as BioCancell Ltd. and changed its name Anchiano Therapeutics Ltd. in July 2018. Anchiano Therapeutics Ltd. was founded in 2004 and is headquartered in Cambridge, Massachusetts....",2020-12-26
47,ANDAU,Calle 113,BogotÃ¡,,,Colombia,,Shell Companies,Financial Services,"Andina Acquisition Corp. III does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, recapitalization, reorganization or other similar business combination with one or more businesses or entities. The company was founded in 2016 and is based in BogotÃ¡, Colombia....",2020-12-26
48,ANNX,180 Kimball Way,South San Francisco,CA,94080,United States,http://www.annexonbio.com,Biotechnology,Healthcare,"Annexon, Inc., a clinical-stage biopharmaceutical company, discovers and develops therapeutics for autoimmune and neurodegenerative diseases. It focuses on the treatment of body, brain, and eye disorders. The company's C1q is an initiating molecule of the classical complement pathway that targets distinct disease processes, such as antibody-mediated autoimmune disease and complement-mediated neurodegeneration. Its product candidates include ANX005, which has completed Phase 1b clinical trials to treat patients with guillain- barrÃ© syndrome; and ANX007, which has completed Phase 1b clinical trials to treat patients with glaucoma. The company's candidates also comprise ANX005 that has completed preclinical trials to treat patients with warm autoimmune hemolytic anemia, Huntington's disease, and amyotrophic lateral sclerosis; ANX007, which has completed preclinical trials for the treatment of geographic atrophy; and ANX009 that has completed preclinical trials for the treatment of s...",2020-12-26
